id,name
54043773,Peter Altmaier
54043773,Svenja Schulze
54043773,Michael Vassiliadis
54043773,Martin Kaiser
54043773,Annalena Baerbock
54044460,Mark Hiley
54044460,Chris Thouless
54044460,Mokgweetsi Masisi
54044754,Michael Ryan
54044754,Tedros Adhanom Ghebreyesus
54044440,Pablo García
54044440,Laura Moreno
54044440,Ana Celia Gonzáles
54047904,Donald Trump
54047904,Hillary Clinton
54047904,Joe Biden
54048291,Joshua Wong
54048291,Angela
54048291,Merkel
54048291,Nathan Law
54049001,Anthony Fauci
54049001,Nathan Grubaugh
54049121,Jorge Rodríguez
54051360,Annegret Kramp - Karrenbauer
54041746,Angela Merkel
54041746,Ai
54041746,Florian Pfaff
54041746,Annegret Kramp - Karrenbauer
54041746,Markus Kreitmayr
54052593,Quim Torra
54054290,Rishi Sunak
54054290,Matt Hancock
54054290,Boris Johnson
54054290,Akshata
54035847,Antonis Mavropoulos
54058313,Horst Seehofer
54058313,Markus Söder
54058313,Jens Spahn
54058313,Harry Glawe
54058668,Luciana Dabramo
54058833,Christian Seifert
54059649,Horst Seehofer
54044308,Batman
54044308,Asterix
54044308,Lucky Luke
54044308,Hergé
54044308,Andreas Platthaus
54044308,Lothar
54044308,Mandrake
54044308,Lee Falk
54044308,Ébano Branco
54044308,Will Eisner
54044308,Denny Colt
54044308,Ace Harlem
54044308,Lion Man
54044308,Waku
54044308,Lobo
54044308,Falcão
54044308,Samuel Wilson
54044308,Stan Lee
54044308,Gene Colan
54044308,Luke Cage
54044308,Peter Parker
54044308,Miles Morales
54044308,Homem - Aranha
54044308,Jack Kirby
54044308,T'Challa
54044308,Ryan Coogler
54044308,George Floyd
54060104,Joshua Wong
54060104,Tanya Chan
54060104,Xi Jinping
54060104,Mike Pompeo
54060104,Joshua Rosenzweig
54060972,Renato Feder
54060972,Jair Bolsonaro
54060972,Abraham Weintraub
54060972,Carlos Alberto Decotelli
54060972,Olavo de Carvalho
54060972,Vélez Rodríguez
54060972,João Doria
54060972,Carlos Nadalim
54061321,Pedro Sánchez
54061321,Jesús Vázquez Almuíña
54061321,Salvador Illa
54061455,São Paulo
54063776,Anne Hidalgo
54063776,Macron
54063831,Ennio Morricone
54063831,Giorgio Assuma
54063831,Sergio Leone
54063831,Quentin Tarantino
54063831,Maria Travia
54063831,Clint Eastwood
54063831,Roman Polanski
54063831,Terrence Malick
54063831,Giuseppe Tornatore
54063831,Bernardo Bertolucci
54063831,Andrea Bocelli
54063831,Bruce Springsteen
54063831,Roger Waters
54063831,Celine Dion
54063831,Herbie Hancock
54063831,Yo - Yo Ma
54063831,Mozart
54063831,Beethoven
54063831,Schubert
54064053,Jair Bolsonaro
54064053,Camila Rocha
54064053,Esther Solano
54064053,Flávio Bolsonaro
54064053,Dilma
54066728,Leonardo da Vinci
54066728,Jean - Luc Martinez
54066728,Da Vinci
54068700,Deeksha Sharma
54068700,Anja Karliczek
54068700,Kornelia von Kaisenberg
54068700,Von Kaisenberg
54068700,Joel Mekiedje
54069000,Sars
54071028,Jens Spahn
54071028,Angela Merkel
54071028,Harry Glawe
54071028,Steffen Seibert
54071028,Além de Merkel
54071028,Paul Ziemiak
54071028,Norbert Walter - Borjans
54059962,Ludwig van Beethoven
54059962,Jesus Cristo
54059962,Sócrates
54059962,Joseph Bologne
54059962,Saint - Georges
54059962,Maria Antonieta
54059962,Mozart Negro
54059962,Wofgang Amadeus
54059962,Porém
54059962,Chevalier
54059962,Oscar Lorenzo Fernández
54059962,Heitor Villa - Lobos
54059962,Francisco Mignone
54059962,Radamés Gnattali
54059962,Mozart Camargo Guarnieri
54059962,Padre José Maurício Nunes Garcia
54059962,Aurélio Cavalcanti
54059962,Francisco Braga
54059962,Scott Joplin
54059962,Frédéric Chopin
54059962,Paul Newman
54059962,Robert Redford
54059962,Samuel Coleridge - Taylor
54059962,William Grant Still
54059962,William L
54059962,Dawson
54059962,George Gershwin
54059962,Florence B
54059962,Price
54059962,Serge Koussevitzky
54059962,Pulitzer
54059962,George Walker
54059962,Walt Whitman
54059962,Abraham Lincoln
54059962,Samuel Barber
54059962,Claude Debussy
54059962,Igor Stravinsky
54059962,Anthony Davis
54059962,Malcolm X
54071833,São Paulo
54071833,João Doria
54071833,Dimas Covas
54072361,Jean - René Etchegaray
54073667,Ricardo Salles
54073667,Jair Bolsonaro
54076459,Daniel Andrews
54076459,Raina MacIntyre
54077350,Paulo Saldiva
54077350,Lidia Morawska
54075606,Denise Martin
54075606,Bella
54075606,Tommy
54075606,Giovanna Valentim
54075606,Andreia
54075606,Ticiana de Paula
54075606,Sofia
54075606,Nira Miguez
54075606,Denise Feliciano
54075530,Michael Ballack
54075530,Pauli
54075530,Niko Kovac
54075530,Franz Beckenbauer
54079173,Paolo Gentiloni
54075797,Jair Bolsonaro
54075797,Boris Johnson
54075797,Luiz Eduardo Ramos
54075797,Rogério Marinho
54075797,José Levi
54075797,Eduardo Bolsonaro
54075797,Todd Chapman
54075797,Ernesto Araújo
54075797,Fabio Wajngarten
54075797,Paulo
54081242,Carlo Buontempo
54081242,Copernicus
54081242,Mark Parrington
54080352,Gracinha Donato
54080352,Bernd Lange
54080352,Anna Cavazzini
54080352,Ursula von der Leyen
54080352,Angela Merkel
54080352,Marianne Kettunen
54080352,Bolsonaro
54080352,Mathilde Dupré
54080352,Emmanuel Macron
54080352,Fredrik Erixon
54080352,Mark Heinzel
54081125,Michael Theurer
54081125,Angela Merkel
54081125,Steffen Seibert
54081125,Annegret Kramp - Karrenbauer
54081125,Paul Ziemiak
54081125,Markus Söder
54081125,Malu Dreyer
54081125,Norbert Walter - Borjans
54081125,Jens Spahn
54081125,Bernd Althusmann
54083431,Ricardo Sobhie Diaz
54083431,Andrea Savarino
54083431,Timothy Ray Brown
54083431,Adam Castillejo
54084264,Donald Trump
54084264,Potus
54084264,Bob Menendez
54084264,António Guterres
54084264,Stéphane Dujarric
54076427,Ana Clara Duran
54076427,Marta Suplicy
54076427,Micarla de Sousa
54076427,Sandra Kennedy
54076427,Maria Cecilia Dellatorre
